hour,cf_humboldt
2069,0.67545587
2070,0.65505587
2071,0.741406478
2072,0.846782186
2073,0.912039676
2074,0.843605668
2075,0.717909312
2076,0.842002429
2077,0.942195951
2078,0.972152227
2079,0.949274494
2080,0.843734413
2081,0.981198381
2082,0.996356275
2083,0.928796761
2084,0.803105263
2085,0.799998381
2086,0.879576518
2087,0.916064777
2088,0.946102834
2089,0.944623482
2090,0.923591903
2091,0.879936032
2092,0.880455061
2093,0.869555466
2094,0.890938462
2095,0.915834818
2096,0.784310931
2097,0.955894737
2098,0.990487449
2099,0.923209717
2100,0.829866397
2101,0.834278543
2102,0.825309312
2103,0.790795142
2104,0.714546559
2105,0.658461538
2106,0.612186235
2107,0.516581377
2108,0.441603239
2109,0.386537652
2110,0.304634008
2111,0.277789474
2112,0.314845344
2113,0.351216194
2114,0.328376518
2115,0.270974089
2116,0.242105263
2117,0.229425101
2118,0.180259109
2119,0.113478543
2120,0.088990283
2121,0.058831579
2122,0.032893117
2123,0.007510931
2124,0
2125,0
2126,0
2127,0.001769231
2128,0.025706073
2129,0.049931174
2130,0
2131,0.003909312
2132,0.047584615
2133,0.12457166
2134,0.116499595
2135,0.14594251
2136,0.163810526
2137,0.441993522
2138,0.578863158
2139,0.659023482
2140,0.609562753
2141,0.552414575
2142,0.3978583
2143,0.285301215
2144,0.252379757
2145,0.136791903
2146,0.190804049
2147,0.260036437
2148,0.277622672
2149,0.246866397
2150,0.187076923
2151,0.281937652
2152,0.230689069
2153,0.186671255
2154,0.103777328
2155,0.04862753
2156,0.023602429
2157,0.008548178
2158,0.000838057
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,0
2166,0.013948178
2167,0.070851822
2168,0.234206478
2169,0.550986235
2170,0.794334413
2171,0.9291417
2172,0.999417004
2173,1
2174,1
2175,1
2176,1
2177,1
2178,1
2179,1
2180,1
2181,1
2182,1
2183,1
2184,1
2185,1
2186,1
2187,1
2188,1
2189,1
2190,1
2191,1
2192,1
2193,0.999047773
2194,0.995574089
2195,1
2196,1
2197,1
2198,1
2199,1
2200,1
2201,1
2202,0.995336032
2203,0.990278543
2204,0.981489879
2205,0.927554656
2206,0.803105263
2207,0.727564372
2208,0.694708502
2209,0.616202429
2210,0.570218623
2211,0.542446964
2212,0.522459919
2213,0.46517085
2214,0.35868502
2215,0.238238057
2216,0.127010526
2217,0.050668826
2218,0.017059109
2219,0.002544939
2220,9.31174E-05
2221,0.003134413
2222,0.009441296
2223,0.003273684
2224,0
2225,0.005582996
2226,0.012740891
2227,0.023522267
2228,0.040926316
2229,0.047737652
2230,0.063011336
2231,0.107710121
2232,0.13068502
2233,0.149188664
2234,0.183436437
2235,0.153753036
2236,0.142459109
2237,0.145195951
2238,0.119498785
2239,0.071866397
2240,0.053630769
2241,0.035382996
2242,0.040278543
2243,0.049206478
2244,0.023038866
2245,0.01385587
2246,0.003072065
2247,0.001769231
2248,0.005803239
2249,0.000931174
2250,0
2251,0
2252,0
2253,0
2254,0
2255,0.010423482
2256,0.009775709
2257,0.09562753
2258,0.182179757
2259,0.2288
2260,0.474042105
2261,0.545423482
2262,0.803906883
2263,0.562506883
2264,0.159756275
2265,0.157996761
2266,0.19999919
2267,0.346270445
2268,0.272909312
2269,0.104319838
2270,0.007921457
2271,0.018602429
2272,0.00282996
2273,0.002976518
2274,0.010034818
2275,0.024507692
2276,0.04248583
2277,0.108055061
2278,0.211592713
2279,0.124022672
2280,0.367336032
2281,0.391601619
2282,0.827148178
2283,0.878804049
2284,0.793243725
2285,0.899620243
2286,0.956452632
2287,0.989904453
2288,0.973830769
2289,1
2290,1
2291,1
2292,0.553846154
2293,1
2294,0.992307692
2295,0.998591093
2296,0.99951417
2297,0.176697166
2298,0.02282834
2299,0.032642105
2300,0.073336032
2301,0.392490688
2302,0.247997571
2303,0.200443725
2304,0.151825101
2305,0.183965182
2306,0.159895547
2307,0.192225101
2308,0.245725506
2309,0.106379757
2310,0.052453441
2311,0.055635628
2312,0.089752227
2313,0.105187045
2314,0.149699595
2315,0.170330364
2316,0.140098785
2317,0.308241296
2318,0.25931336
2319,0.168635628
2320,0.100292308
2321,0.216502834
2322,0.140978947
2323,0.060419433
2324,0.066049393
2325,0.097681781
2326,0.098808097
2327,0.051021053
2328,0.017606478
2329,0.004296356
2330,0.003910121
2331,0.009540891
2332,0.018532794
2333,0.020587045
2334,0.031191903
2335,0.052893927
2336,0.053350607
2337,0.031931174
2338,0.023901215
2339,0.011323077
2340,0.003148988
2341,0.001955466
2342,0.000667206
2343,0.001024291
2344,0
2345,0
2346,0
2347,0
2348,0
2349,0
2350,0
2351,0
2352,0
2353,0
2354,0
2355,0
2356,0
2357,0
2358,0.000931174
2359,0.011360324
2360,0.001862348
2361,0
2362,0.001676113
2363,0.00251417
2364,0.002327935
2365,0.004004049
2366,0.010909312
2367,0.022169231
2368,0.026183806
2369,0.023606478
2370,0.018398381
2371,0.023931984
2372,0.027382996
2373,0.021002429
2374,0.009591093
2375,0
2376,0
2377,0
2378,0
2379,0.003072874
2380,0
2381,0
2382,0
2383,0
2384,0
2385,0
2386,0
2387,0
2388,0.010615385
2389,0.020242915
2390,0.021544939
2391,0.024780567
2392,0.011791903
2393,0.00465587
2394,0
2395,0
2396,0
2397,0.000931174
2398,0.006863968
2399,0.016715789
2400,0.023108502
2401,0.026557085
2402,0.044232389
2403,0.072838057
2404,0.099277733
2405,0.121194332
2406,0.160292308
2407,0.25265587
2408,0.271383806
2409,0.112426721
2410,0.013847773
2411,0.247331984
2412,0.398874494
2413,0.356979757
2414,0.370974899
2415,0.422890688
2416,0.480989474
2417,0.586751417
2418,0.608890688
2419,0.652620243
2420,0.740992713
2421,0.774592713
2422,0.824859919
2423,0.830774899
2424,0.885109312
2425,0.93242996
2426,0.933538462
2427,0.936708502
2428,0.957930364
2429,0.988315789
2430,0.992489069
2431,0.98851498
2432,0.941812955
2433,0.890635628
2434,0.840531984
2435,0.806684211
2436,0.761163563
2437,0.702071255
2438,0.679981377
2439,0.610323887
2440,0.54311417
2441,0.599109312
2442,0.626129555
2443,0.623319838
2444,0.571991903
2445,0.470140891
2446,0.353892308
2447,0.266664777
2448,0.173961134
2449,0.121133603
